Designator,Mid X,Mid Y,Layer,Rotation
3V2,42.60,12.40,Bottom,180.0
BL9198, 8.30, 7.50,Bottom,90.0
C1, 6.89, 2.37,Bottom,270.0
C2,17.83, 4.29,Bottom,180.0
C3,19.75,13.60,Bottom,0.0
C4,14.18,12.50,Bottom,180.0
C5,29.93, 1.25,Bottom,0.0
C6,29.88, 2.90,Bottom,0.0
C7, 9.09, 2.37,Bottom,270.0
C8,11.30, 2.37,Bottom,270.0
C9,24.48, 2.37,Bottom,270.0
C10,26.45, 2.37,Bottom,270.0
C11,30.45,13.60,Bottom,0.0
C12,30.50,11.88,Bottom,0.0
C13,20.55, 2.37,Bottom,270.0
C23,27.08,12.70,Bottom,90.0
C24,27.13, 9.65,Bottom,270.0
EEPROM,24.80, 6.55,Bottom,0.0
J2,-3.50, 7.50,Bottom,90.0
R1,12.60, 8.59,Bottom,180.0
R2, 9.95,12.50,Bottom,0.0
R3,30.50,10.10,Bottom,0.0
R4,12.60, 6.35,Bottom,180.0
R6,22.52, 2.37,Bottom,270.0
R10,34.00,11.75,Bottom,180.0
R11,34.00,13.50,Bottom,0.0
SAMD21,18.25, 8.55,Bottom,180.0
U2,37.10, 8.10,Bottom,270.0
Y4,24.75,11.65,Top,0.091.0
X2,32.6,10.8,Top,0.0
X3,28.1,6.5,Top,0.0
X4,32.6,2.00,Top,0.0
X5,37.00,6.3,Top,0.091.0
X6,32.6,6.5,Top,0.0
LCD1,44.50,7.5,Top,0.0
